00404.jpg;333;413;394;476;1;52.0
00404.jpg;1252;413;1313;471;1;59.0
00405.jpg;981;605;1000;621;3;66.0
00405.jpg;899;607;921;623;1;170.0
00405.jpg;886;606;904;625;1;85.0
00406.jpg;5;602;30;623;1;156.0
00408.jpg;1130;481;1209;550;2;44.0
00408.jpg;124;461;212;542;2;43.0
00409.jpg;985;152;1061;212;2;127.0
00409.jpg;1221;153;1269;195;1;268.0
00409.jpg;923;171;957;208;1;283.0
00409.jpg;749;190;776;214;1;71.0
00409.jpg;817;184;841;214;1;216.0
00409.jpg;1306;128;1360;165;1;79.0
00409.jpg;1111;169;1133;196;1;306.0
00414.jpg;1032;421;1077;467;1;53.0
00416.jpg;197;457;228;487;2;99.0
00416.jpg;120;390;213;489;1;179.0
00416.jpg;813;505;849;542;1;83.0
00417.jpg;1099;105;1118;123;1;116.0
00417.jpg;1081;228;1112;265;1;181.0
00417.jpg;739;443;778;471;2;136.0
00418.jpg;1150;680;1184;707;1;134.0
00418.jpg;456;564;486;588;1;160.0
00418.jpg;455;538;494;569;1;162.0
00419.jpg;438;581;483;614;2;47.0
00419.jpg;978;489;1026;537;1;55.0
00423.jpg;1045;621;1070;646;3;89.0
00423.jpg;1201;618;1229;639;2;92.0
00423.jpg;362;471;447;546;2;100.0
00425.jpg;900;500;940;540;1;53.0
00428.jpg;325;547;353;575;1;165.0
00428.jpg;318;541;358;581;2;115.0
00429.jpg;426;598;459;625;3;64.0
00429.jpg;777;554;808;587;1;197.0
00429.jpg;700;534;724;559;1;388.0
00429.jpg;550;536;571;561;1;138.0
00429.jpg;577;456;619;486;1;341.0
00429.jpg;499;693;518;715;1;182.0
00429.jpg;466;433;503;470;1;300.0
00431.jpg;501;528;526;550;2;51.0
00431.jpg;1140;497;1179;534;1;154.0
00431.jpg;274;526;314;563;1;226.0
00432.jpg;631;467;662;494;3;113.0
00432.jpg;942;512;970;540;1;102.0
00433.jpg;749;592;773;613;1;230.0
00433.jpg;1009;501;1033;520;1;129.0
00433.jpg;946;571;989;602;3;77.0
00433.jpg;851;572;876;599;1;85.0
00433.jpg;509;532;566;584;1;190.0
00433.jpg;495;512;577;594;1;146.0
00434.jpg;355;512;398;554;2;57.0
00434.jpg;421;492;479;540;1;75.0
00434.jpg;629;533;647;552;1;202.0
00434.jpg;77;520;216;620;3;63.0
00434.jpg;795;541;825;569;2;169.0
00435.jpg;127;610;185;671;1;126.0
00435.jpg;827;526;869;566;2;80.0
00436.jpg;945;483;982;520;1;234.0
00436.jpg;798;482;831;510;1;98.0
00436.jpg;789;525;820;555;1;158.0
00438.jpg;479;584;525;627;1;111.0
00438.jpg;153;594;178;616;1;200.0
00439.jpg;1194;502;1248;562;1;187.0
00439.jpg;1177;483;1262;576;2;107.0
00440.jpg;1240;494;1322;563;1;132.0
00440.jpg;965;437;1005;471;1;237.0
00440.jpg;802;547;865;592;3;70.0
00440.jpg;677;576;705;601;1;242.0
00441.jpg;1060;531;1112;579;1;157.0
00441.jpg;1049;518;1122;588;2;82.0
00442.jpg;506;540;537;577;2;51.0
00442.jpg;75;567;103;594;1;215.0
00443.jpg;1079;534;1118;567;1;57.0
00443.jpg;724;538;749;566;2;80.0
00443.jpg;706;439;779;526;1;84.0
